rocid,slot,channel,group,hits_per_frame
84,16,5,fadc,18.751
29,14,7,fadc,18.746
29,14,12,fadc,18.641
84,9,14,fadc,18.63
84,10,14,fadc,18.592
84,10,4,fadc,18.582
29,13,3,fadc,18.571
84,9,9,fadc,18.557
29,16,11,fadc,18.55
29,13,5,fadc,18.549
29,15,14,fadc,18.549
84,13,8,fadc,18.535
84,3,1,fadc,18.514
84,16,1,fadc,18.495
29,16,6,fadc,18.486
29,10,8,fadc,18.457
84,14,2,fadc,18.392
29,14,8,fadc,18.324
29,15,1,fadc,18.269
84,10,9,fadc,18.269
84,10,5,fadc,18.264
84,16,7,fadc,18.256
29,14,2,fadc,18.243
84,13,15,fadc,18.206
29,13,9,fadc,18.166
29,16,1,fadc,18.157
84,9,13,fadc,18.157
84,9,5,fadc,18.148
84,16,6,fadc,18.095
29,10,4,fadc,18.077
29,15,2,fadc,18.067
84,9,8,fadc,18.065
84,14,8,fadc,18.045
29,13,13,fadc,18.015
29,3,3,fadc,18.004
84,10,15,fadc,17.991
84,13,6,fadc,17.954
84,16,3,fadc,17.949
84,14,9,fadc,17.931
84,14,15,fadc,17.924
84,15,8,fadc,17.919
29,14,13,fadc,17.875
29,13,8,fadc,17.863
29,9,13,fadc,17.858
84,13,12,fadc,17.848
84,14,5,fadc,17.837
29,3,1,fadc,17.832
29,16,3,fadc,17.823
29,13,6,fadc,17.814
84,10,13,fadc,17.802
29,16,12,fadc,17.789
84,10,12,fadc,17.789
29,16,5,fadc,17.775
84,4,6,fadc,17.759
84,13,3,fadc,17.637
29,13,15,fadc,17.574
29,10,7,fadc,17.561
84,15,3,fadc,17.539
84,9,15,fadc,17.528
29,14,0,fadc,17.456
29,14,3,fadc,17.455
29,13,12,fadc,17.437
29,9,9,fadc,17.414
84,13,7,fadc,17.385
29,10,13,fadc,17.366
29,10,9,fadc,17.343
84,16,12,fadc,17.329
84,14,6,fadc,17.31
29,15,8,fadc,17.263
84,14,13,fadc,17.162
29,14,15,fadc,17.14
84,13,9,fadc,17.136
29,16,14,fadc,17.103
84,13,0,fadc,17.102
29,9,8,fadc,17.08
84,14,0,fadc,17.005
84,14,3,fadc,16.998
29,13,0,fadc,16.997
84,10,1,fadc,16.959
29,13,10,fadc,16.872
29,15,7,fadc,16.769
84,10,6,fadc,16.73
84,9,6,fadc,16.672
29,13,7,fadc,16.67
29,9,5,fadc,16.555
84,9,4,fadc,16.545
84,15,7,fadc,16.539
29,16,2,fadc,16.473
29,10,14,fadc,16.373
29,10,5,fadc,16.369
84,9,12,fadc,16.325
29,15,6,fadc,16.195
84,10,7,fadc,16.167
29,10,12,fadc,16.136
84,14,10,fadc,16.051
29,9,6,fadc,16.05
29,10,1,fadc,16.029
29,16,8,fadc,15.962
84,10,10,fadc,15.865
29,10,3,fadc,15.746
29,10,15,fadc,15.671
29,14,10,fadc,15.533
84,14,7,fadc,15.511
29,10,6,fadc,15.432
29,10,2,fadc,15.353
84,16,8,fadc,15.333
84,16,0,fadc,15.324
44,9,38,dcrb,15.321
84,9,7,fadc,15.28
29,4,2,fadc,15.264
84,9,1,fadc,15.254
29,9,10,fadc,15.223
84,4,2,fadc,15.167
29,15,11,fadc,15.157
29,9,7,fadc,15.047
84,10,2,fadc,15.02
29,10,10,fadc,14.949
84,10,3,fadc,14.916
84,15,9,fadc,14.786
44,9,88,dcrb,14.704
29,8,15,fadc,14.696
84,13,11,fadc,14.644
29,4,0,fadc,14.569
29,10,0,fadc,14.49
29,9,3,fadc,14.447
29,15,9,fadc,14.418
53,3,90,dcrb,14.165
44,9,84,dcrb,14.159
53,3,88,dcrb,14.113
53,3,94,dcrb,14.109
53,3,87,dcrb,14.102
84,9,3,fadc,14.086
44,19,79,dcrb,14.069
53,3,84,dcrb,14.049
53,3,93,dcrb,14.049
29,9,1,fadc,14.015
84,15,10,fadc,14.001
29,7,13,fadc,13.999
84,8,15,fadc,13.962
84,10,0,fadc,13.931
53,3,85,dcrb,13.92
53,3,81,dcrb,13.912
53,3,83,dcrb,13.872
53,3,95,dcrb,13.871
53,3,82,dcrb,13.844
53,3,91,dcrb,13.791
53,3,89,dcrb,13.752
53,3,92,dcrb,13.706
29,8,13,fadc,13.688
29,9,0,fadc,13.658
53,3,79,dcrb,13.579
29,9,2,fadc,13.542
84,9,2,fadc,13.507
53,3,80,dcrb,13.484
53,3,86,dcrb,13.465
44,6,46,dcrb,13.409
84,9,0,fadc,13.398
84,4,0,fadc,13.229
29,16,10,fadc,13.171
53,6,55,dcrb,13.123
53,3,73,dcrb,13.096
29,7,15,fadc,13.006
29,9,4,fadc,13.0
29,15,10,fadc,12.972
53,3,72,dcrb,12.97
53,3,76,dcrb,12.967
53,3,78,dcrb,12.905
29,8,14,fadc,12.833
53,3,60,dcrb,12.817
53,3,77,dcrb,12.701
84,7,15,fadc,12.626
84,8,13,fadc,12.573
29,8,11,fadc,12.399
53,3,74,dcrb,12.398
84,7,13,fadc,12.361
53,3,75,dcrb,12.221
29,7,14,fadc,12.165
84,16,10,fadc,12.162
53,3,69,dcrb,12.052
29,7,12,fadc,12.051
53,3,70,dcrb,12.022
53,3,71,dcrb,11.975
53,3,68,dcrb,11.944
29,8,12,fadc,11.922
29,7,11,fadc,11.906
53,3,66,dcrb,11.824
53,3,67,dcrb,11.798
29,8,9,fadc,11.471
84,9,10,fadc,11.432
84,8,14,fadc,11.257
53,3,64,dcrb,11.25
29,4,3,fadc,11.214
84,8,9,fadc,11.161
84,7,14,fadc,11.051
84,7,12,fadc,10.996
84,8,11,fadc,10.99
29,7,9,fadc,10.981
44,17,78,dcrb,10.869
53,9,42,dcrb,10.782
54,9,92,dcrb,10.777
84,8,12,fadc,10.771
29,8,8,fadc,10.658
53,3,65,dcrb,10.625
44,3,74,dcrb,10.443
44,3,72,dcrb,10.434
53,17,40,dcrb,10.428
84,7,11,fadc,10.408
44,3,79,dcrb,10.363
44,3,78,dcrb,10.289
53,17,48,dcrb,10.246
44,3,84,dcrb,10.233
44,3,93,dcrb,10.196
44,3,87,dcrb,10.167
44,3,85,dcrb,10.131
44,3,82,dcrb,10.066
44,3,94,dcrb,10.041
44,3,71,dcrb,10.035
44,3,76,dcrb,10.012
84,7,9,fadc,9.978
44,15,84,dcrb,9.907
44,3,88,dcrb,9.898
44,3,86,dcrb,9.892
44,3,83,dcrb,9.791
44,3,77,dcrb,9.784
53,4,92,dcrb,9.746
44,3,73,dcrb,9.729
44,3,70,dcrb,9.719
53,17,44,dcrb,9.686
53,5,50,dcrb,9.683
44,3,90,dcrb,9.681
44,3,92,dcrb,9.631
44,3,75,dcrb,9.581
44,3,80,dcrb,9.576
44,3,68,dcrb,9.489
53,5,68,dcrb,9.489
53,5,38,dcrb,9.481
53,5,57,dcrb,9.458
44,16,93,dcrb,9.456
53,5,8,dcrb,9.454
53,5,40,dcrb,9.427
84,8,8,fadc,9.426
53,16,8,dcrb,9.424
53,5,44,dcrb,9.405
53,5,26,dcrb,9.386
44,3,65,dcrb,9.351
53,5,32,dcrb,9.345
53,4,88,dcrb,9.343
53,5,20,dcrb,9.339
53,5,89,dcrb,9.337
53,5,2,dcrb,9.313
44,3,91,dcrb,9.297
53,5,69,dcrb,9.297
53,3,40,dcrb,9.291
44,3,81,dcrb,9.275
53,3,42,dcrb,9.268
53,5,9,dcrb,9.257
53,15,94,dcrb,9.247
53,5,56,dcrb,9.237
53,3,45,dcrb,9.224
53,4,87,dcrb,9.221
44,3,69,dcrb,9.22
53,16,6,dcrb,9.21
53,15,93,dcrb,9.192
53,3,41,dcrb,9.181
53,4,74,dcrb,9.18
44,3,67,dcrb,9.166
44,6,68,dcrb,9.163
53,14,79,dcrb,9.162
53,16,9,dcrb,9.159
53,3,36,dcrb,9.153
53,4,68,dcrb,9.15
53,3,37,dcrb,9.144
53,4,82,dcrb,9.136
53,6,56,dcrb,9.133
53,3,39,dcrb,9.131
44,16,61,dcrb,9.126
53,5,27,dcrb,9.123
53,4,69,dcrb,9.117
44,16,29,dcrb,9.114
53,5,73,dcrb,9.105
53,4,75,dcrb,9.101
53,4,76,dcrb,9.101
53,5,21,dcrb,9.09
53,5,58,dcrb,9.085
53,3,34,dcrb,9.081
53,16,57,dcrb,9.073
44,16,20,dcrb,9.065
44,16,4,dcrb,9.05
53,5,59,dcrb,9.035
53,15,40,dcrb,9.033
53,5,6,dcrb,9.03
53,5,41,dcrb,9.03
53,6,54,dcrb,9.023
53,5,43,dcrb,9.02
53,5,82,dcrb,9.019
53,5,34,dcrb,9.017
44,3,66,dcrb,9.01
53,3,33,dcrb,9.01
53,3,43,dcrb,9.005
53,5,52,dcrb,8.993
53,4,80,dcrb,8.976
53,5,42,dcrb,8.966
53,5,29,dcrb,8.959
53,16,15,dcrb,8.959
53,16,46,dcrb,8.959
54,20,20,dcrb,8.955
53,4,93,dcrb,8.948
53,3,44,dcrb,8.946
53,15,75,dcrb,8.945
53,4,51,dcrb,8.93
53,4,81,dcrb,8.93
53,4,50,dcrb,8.926
53,3,46,dcrb,8.925
44,16,16,dcrb,8.919
53,15,84,dcrb,8.919
44,16,60,dcrb,8.918
53,15,74,dcrb,8.911
53,4,89,dcrb,8.909
53,5,25,dcrb,8.903
53,17,9,dcrb,8.9
53,17,75,dcrb,8.896
53,16,56,dcrb,8.89
44,4,54,dcrb,8.889
53,16,3,dcrb,8.887
44,3,64,dcrb,8.884
53,5,74,dcrb,8.882
53,15,69,dcrb,8.877
53,5,24,dcrb,8.876
53,5,14,dcrb,8.875
53,7,9,dcrb,8.874
53,4,84,dcrb,8.873
53,15,92,dcrb,8.872
53,5,15,dcrb,8.871
29,3,2,fadc,8.87
44,16,39,dcrb,8.867
53,5,10,dcrb,8.866
53,4,86,dcrb,8.865
53,5,3,dcrb,8.86
53,16,0,dcrb,8.859
53,17,52,dcrb,8.859
44,16,10,dcrb,8.853
53,15,87,dcrb,8.853
53,16,27,dcrb,8.85
53,4,62,dcrb,8.848
53,5,66,dcrb,8.848
53,5,88,dcrb,8.847
53,5,72,dcrb,8.845
53,4,83,dcrb,8.842
53,4,78,dcrb,8.839
53,4,48,dcrb,8.838
29,8,5,fadc,8.837
44,16,6,dcrb,8.837
53,16,21,dcrb,8.837
53,4,36,dcrb,8.836
53,5,45,dcrb,8.83
53,4,33,dcrb,8.828
44,16,14,dcrb,8.824
53,15,78,dcrb,8.824
44,16,15,dcrb,8.823
53,4,52,dcrb,8.821
53,16,24,dcrb,8.818
53,5,4,dcrb,8.813
53,5,60,dcrb,8.813
53,5,86,dcrb,8.812
53,16,12,dcrb,8.812
53,5,63,dcrb,8.811
44,8,72,dcrb,8.81
53,16,16,dcrb,8.81
53,15,81,dcrb,8.809
53,4,37,dcrb,8.807
53,4,45,dcrb,8.803
53,5,0,dcrb,8.801
53,15,95,dcrb,8.801
53,5,53,dcrb,8.79
53,4,64,dcrb,8.789
44,16,3,dcrb,8.787
53,4,57,dcrb,8.787
53,5,16,dcrb,8.787
53,16,63,dcrb,8.783
53,16,39,dcrb,8.782
53,4,53,dcrb,8.781
53,5,5,dcrb,8.781
53,4,71,dcrb,8.78
53,4,63,dcrb,8.779
53,5,18,dcrb,8.778
53,5,55,dcrb,8.777
53,6,89,dcrb,8.776
53,16,75,dcrb,8.775
53,16,45,dcrb,8.773
53,15,90,dcrb,8.769
53,15,64,dcrb,8.768
53,6,2,dcrb,8.767
53,16,4,dcrb,8.767
53,16,33,dcrb,8.766
53,4,44,dcrb,8.765
44,16,27,dcrb,8.764
29,7,8,fadc,8.761
53,4,90,dcrb,8.755
53,4,77,dcrb,8.754
53,6,74,dcrb,8.753
44,15,76,dcrb,8.75
53,5,12,dcrb,8.747
53,6,50,dcrb,8.747
44,15,90,dcrb,8.739
53,4,38,dcrb,8.739
53,4,56,dcrb,8.738
53,4,66,dcrb,8.738
53,4,39,dcrb,8.735
53,4,42,dcrb,8.735
53,4,72,dcrb,8.735
53,4,70,dcrb,8.732
53,5,85,dcrb,8.731
44,16,8,dcrb,8.73
53,4,91,dcrb,8.73
44,16,33,dcrb,8.728
53,5,23,dcrb,8.728
53,5,33,dcrb,8.728
44,16,9,dcrb,8.725
53,5,28,dcrb,8.725
53,5,62,dcrb,8.725
44,15,93,dcrb,8.723
53,16,18,dcrb,8.723
44,16,57,dcrb,8.718
44,15,63,dcrb,8.717
44,16,21,dcrb,8.717
53,15,63,dcrb,8.717
53,5,92,dcrb,8.713
53,16,51,dcrb,8.712
53,5,11,dcrb,8.707
53,4,94,dcrb,8.706
53,6,8,dcrb,8.706
53,4,32,dcrb,8.703
44,16,11,dcrb,8.701
53,5,1,dcrb,8.701
53,4,54,dcrb,8.699
53,4,79,dcrb,8.699
44,4,66,dcrb,8.697
53,16,10,dcrb,8.697
44,16,26,dcrb,8.696
44,16,32,dcrb,8.696
44,4,71,dcrb,8.695
44,15,75,dcrb,8.694
44,15,87,dcrb,8.694
53,5,17,dcrb,8.694
53,4,60,dcrb,8.693
53,15,68,dcrb,8.693
53,16,14,dcrb,8.693
53,4,65,dcrb,8.69
53,4,46,dcrb,8.685
53,15,60,dcrb,8.685
53,5,13,dcrb,8.683
44,15,81,dcrb,8.681
44,15,92,dcrb,8.68
53,5,22,dcrb,8.678
53,4,85,dcrb,8.677
53,4,73,dcrb,8.676
53,5,7,dcrb,8.675
53,5,31,dcrb,8.675
53,15,57,dcrb,8.675
53,15,88,dcrb,8.675
53,16,40,dcrb,8.673
53,4,58,dcrb,8.672
53,5,36,dcrb,8.672
53,5,37,dcrb,8.672
53,15,72,dcrb,8.672
53,16,1,dcrb,8.671
53,16,88,dcrb,8.671
44,4,49,dcrb,8.67
53,4,61,dcrb,8.67
44,18,9,dcrb,8.669
44,15,72,dcrb,8.668
53,3,38,dcrb,8.667
53,6,57,dcrb,8.667
53,16,60,dcrb,8.667
53,5,39,dcrb,8.663
53,4,49,dcrb,8.662
44,16,2,dcrb,8.658
44,16,45,dcrb,8.657
53,4,55,dcrb,8.655
53,15,82,dcrb,8.653
53,5,19,dcrb,8.652
53,5,75,dcrb,8.651
44,4,82,dcrb,8.65
44,16,24,dcrb,8.647
44,6,78,dcrb,8.644
53,15,86,dcrb,8.643
53,16,2,dcrb,8.643
53,16,28,dcrb,8.64
53,16,62,dcrb,8.639
53,15,70,dcrb,8.637
53,16,87,dcrb,8.636
44,4,52,dcrb,8.635
44,7,70,dcrb,8.635
53,4,95,dcrb,8.635
53,6,60,dcrb,8.635
53,4,47,dcrb,8.633
53,5,93,dcrb,8.632
53,15,66,dcrb,8.629
53,15,76,dcrb,8.629
53,16,90,dcrb,8.629
53,15,73,dcrb,8.627
44,5,42,dcrb,8.626
53,4,43,dcrb,8.626
53,4,59,dcrb,8.625
53,15,71,dcrb,8.625
44,16,12,dcrb,8.623
53,16,7,dcrb,8.622
44,16,38,dcrb,8.62
53,6,10,dcrb,8.619
53,6,73,dcrb,8.619
53,16,23,dcrb,8.619
53,5,30,dcrb,8.617
53,5,61,dcrb,8.611
53,6,53,dcrb,8.611
53,16,22,dcrb,8.611
44,16,13,dcrb,8.607
53,15,45,dcrb,8.607
53,4,67,dcrb,8.604
53,16,36,dcrb,8.604
53,5,35,dcrb,8.603
53,16,30,dcrb,8.603
53,16,54,dcrb,8.603
53,16,13,dcrb,8.602
53,16,25,dcrb,8.601
44,4,90,dcrb,8.6
53,15,85,dcrb,8.599
53,16,17,dcrb,8.599
53,15,79,dcrb,8.598
44,4,70,dcrb,8.597
53,15,80,dcrb,8.597
53,16,48,dcrb,8.596
53,15,51,dcrb,8.595
53,6,11,dcrb,8.594
53,5,51,dcrb,8.593
53,16,69,dcrb,8.593
53,5,64,dcrb,8.591
53,16,64,dcrb,8.591
44,15,74,dcrb,8.59
44,4,67,dcrb,8.588
53,6,26,dcrb,8.587
44,4,78,dcrb,8.586
53,16,66,dcrb,8.586
53,16,19,dcrb,8.584
44,16,18,dcrb,8.583
53,5,46,dcrb,8.582
53,4,27,dcrb,8.581
53,5,49,dcrb,8.579
53,16,34,dcrb,8.579
53,6,30,dcrb,8.578
44,5,18,dcrb,8.575
53,15,83,dcrb,8.575
53,5,84,dcrb,8.573
44,4,5,dcrb,8.572
44,4,79,dcrb,8.572
44,4,84,dcrb,8.572
53,4,41,dcrb,8.571
53,6,29,dcrb,8.57
44,15,39,dcrb,8.569
53,16,93,dcrb,8.568
44,3,15,dcrb,8.567
44,4,55,dcrb,8.567
44,4,58,dcrb,8.567
44,4,85,dcrb,8.566
53,5,47,dcrb,8.564
44,15,82,dcrb,8.563
44,15,94,dcrb,8.563
44,16,7,dcrb,8.563
53,6,68,dcrb,8.563
53,4,40,dcrb,8.561
53,15,91,dcrb,8.561
53,16,42,dcrb,8.561
53,16,20,dcrb,8.559
29,8,7,fadc,8.558
53,4,34,dcrb,8.558
44,5,43,dcrb,8.557
53,16,38,dcrb,8.557
53,15,67,dcrb,8.556
29,3,0,fadc,8.555
44,5,0,dcrb,8.554
44,4,64,dcrb,8.549
53,6,69,dcrb,8.549
44,16,51,dcrb,8.544
44,4,73,dcrb,8.543
53,5,48,dcrb,8.543
53,3,35,dcrb,8.542
53,4,21,dcrb,8.542
44,15,80,dcrb,8.541
53,5,87,dcrb,8.541
53,6,14,dcrb,8.541
44,4,91,dcrb,8.54
53,16,5,dcrb,8.538
44,16,44,dcrb,8.535
53,4,26,dcrb,8.535
44,15,69,dcrb,8.534
53,15,89,dcrb,8.534
53,7,8,dcrb,8.533
44,4,83,dcrb,8.532
44,6,26,dcrb,8.53
44,4,76,dcrb,8.527
53,15,77,dcrb,8.526
53,5,94,dcrb,8.525
53,16,31,dcrb,8.523
44,4,61,dcrb,8.522
44,4,72,dcrb,8.521
53,16,11,dcrb,8.521
44,15,73,dcrb,8.52
44,16,30,dcrb,8.518
44,4,48,dcrb,8.517
44,4,94,dcrb,8.515
44,15,78,dcrb,8.515
44,5,52,dcrb,8.513
53,5,54,dcrb,8.512
44,15,85,dcrb,8.511
44,4,46,dcrb,8.51
53,5,80,dcrb,8.509
53,15,65,dcrb,8.509
44,4,53,dcrb,8.508
44,16,5,dcrb,8.508
53,4,28,dcrb,8.508
44,4,88,dcrb,8.507
53,5,81,dcrb,8.507
53,6,12,dcrb,8.505
53,16,32,dcrb,8.505
53,16,74,dcrb,8.502
44,15,62,dcrb,8.5
53,6,75,dcrb,8.5
53,15,54,dcrb,8.5
44,5,10,dcrb,8.499
44,5,12,dcrb,8.498
53,15,61,dcrb,8.498
44,5,49,dcrb,8.497
53,16,29,dcrb,8.497
44,5,23,dcrb,8.496
44,15,45,dcrb,8.496
53,15,58,dcrb,8.496
44,15,66,dcrb,8.495
53,16,43,dcrb,8.495
44,5,19,dcrb,8.493
44,16,19,dcrb,8.493
44,5,4,dcrb,8.492
44,16,22,dcrb,8.492
44,15,64,dcrb,8.49
53,16,52,dcrb,8.49
53,16,67,dcrb,8.49
44,4,95,dcrb,8.489
53,4,20,dcrb,8.488
53,6,72,dcrb,8.488
44,5,1,dcrb,8.487
53,16,26,dcrb,8.487
44,15,88,dcrb,8.486
44,16,28,dcrb,8.486
53,4,35,dcrb,8.484
44,15,91,dcrb,8.482
53,15,48,dcrb,8.482
44,4,77,dcrb,8.48
44,15,38,dcrb,8.48
53,16,65,dcrb,8.48
44,4,60,dcrb,8.478
44,5,6,dcrb,8.478
44,18,2,dcrb,8.478
29,7,10,fadc,8.476
44,5,13,dcrb,8.476
44,5,16,dcrb,8.474
44,6,32,dcrb,8.474
44,4,87,dcrb,8.471
53,5,70,dcrb,8.468
44,4,65,dcrb,8.466
53,5,83,dcrb,8.466
53,15,39,dcrb,8.466
44,4,42,dcrb,8.465
44,5,7,dcrb,8.465
44,5,17,dcrb,8.464
53,16,37,dcrb,8.463
53,15,42,dcrb,8.462
44,16,69,dcrb,8.46
53,16,49,dcrb,8.46
44,15,60,dcrb,8.457
44,16,48,dcrb,8.457
53,7,2,dcrb,8.456
53,4,30,dcrb,8.455
53,4,31,dcrb,8.455
44,15,86,dcrb,8.453
53,16,81,dcrb,8.453
44,5,61,dcrb,8.452
44,16,36,dcrb,8.452
53,4,24,dcrb,8.452
53,15,52,dcrb,8.45
44,16,17,dcrb,8.449
54,9,80,dcrb,8.449
44,5,48,dcrb,8.448
44,16,25,dcrb,8.448
44,4,89,dcrb,8.447
44,5,24,dcrb,8.446
44,5,88,dcrb,8.446
44,5,89,dcrb,8.445
53,16,35,dcrb,8.444
53,17,6,dcrb,8.444
44,16,34,dcrb,8.443
53,6,9,dcrb,8.443
44,4,43,dcrb,8.442
44,6,27,dcrb,8.441
53,16,72,dcrb,8.44
44,15,79,dcrb,8.439
44,4,59,dcrb,8.438
53,15,49,dcrb,8.438
44,15,61,dcrb,8.437
44,15,83,dcrb,8.436
53,15,46,dcrb,8.436
44,16,23,dcrb,8.435
53,15,55,dcrb,8.435
53,5,65,dcrb,8.434
44,5,11,dcrb,8.433
53,16,44,dcrb,8.433
44,15,89,dcrb,8.432
53,5,78,dcrb,8.431
53,17,3,dcrb,8.431
53,6,61,dcrb,8.429
53,16,41,dcrb,8.429
44,15,70,dcrb,8.428
44,5,28,dcrb,8.426
44,16,1,dcrb,8.425
44,5,5,dcrb,8.423
44,6,33,dcrb,8.423
44,15,71,dcrb,8.423
53,15,62,dcrb,8.423
44,5,40,dcrb,8.421
44,4,40,dcrb,8.42
53,15,50,dcrb,8.419
44,15,77,dcrb,8.416
44,16,46,dcrb,8.415
53,6,3,dcrb,8.413
44,5,22,dcrb,8.412
44,16,50,dcrb,8.412
53,6,40,dcrb,8.412
44,4,47,dcrb,8.411
44,5,76,dcrb,8.41
44,5,84,dcrb,8.41
53,5,67,dcrb,8.408
44,4,34,dcrb,8.405
53,15,33,dcrb,8.405
44,15,57,dcrb,8.403
44,15,95,dcrb,8.402
53,6,15,dcrb,8.402
53,15,59,dcrb,8.402
44,5,36,dcrb,8.401
44,16,41,dcrb,8.398
53,15,56,dcrb,8.396
44,15,67,dcrb,8.395
44,16,56,dcrb,8.395
44,3,60,dcrb,8.392
53,5,95,dcrb,8.39
53,5,71,dcrb,8.389
53,6,41,dcrb,8.389
53,16,53,dcrb,8.389
53,4,22,dcrb,8.387
53,15,36,dcrb,8.387
44,16,42,dcrb,8.386
44,16,54,dcrb,8.385
53,5,77,dcrb,8.384
44,4,36,dcrb,8.383
44,16,31,dcrb,8.383
44,16,35,dcrb,8.381
53,16,58,dcrb,8.381
53,17,85,dcrb,8.379
44,5,34,dcrb,8.378
44,16,63,dcrb,8.378
53,5,76,dcrb,8.378
53,16,50,dcrb,8.377
53,5,79,dcrb,8.376
44,5,30,dcrb,8.375
44,16,66,dcrb,8.375
44,4,12,dcrb,8.371
44,15,44,dcrb,8.371
44,4,37,dcrb,8.37
44,4,30,dcrb,8.367
44,5,25,dcrb,8.367
53,16,55,dcrb,8.367
44,15,65,dcrb,8.366
44,16,40,dcrb,8.366
44,16,62,dcrb,8.365
53,16,82,dcrb,8.365
44,5,77,dcrb,8.364
44,5,29,dcrb,8.363
44,4,13,dcrb,8.362
44,5,31,dcrb,8.362
53,3,47,dcrb,8.362
44,15,58,dcrb,8.359
53,15,37,dcrb,8.359
44,5,41,dcrb,8.358
53,6,0,dcrb,8.357
44,16,47,dcrb,8.353
53,17,8,dcrb,8.353
53,16,47,dcrb,8.352
53,4,29,dcrb,8.351
53,6,82,dcrb,8.348
44,15,68,dcrb,8.347
53,5,90,dcrb,8.347
53,6,45,dcrb,8.345
53,6,88,dcrb,8.345
53,4,15,dcrb,8.344
53,17,15,dcrb,8.344
44,5,37,dcrb,8.342
44,17,9,dcrb,8.342
53,16,76,dcrb,8.341
