rocid,slot,channel,group,hits_per_frame
29,5,11,fadc,121.535
29,5,7,fadc,120.577
29,6,10,fadc,95.495
29,6,9,fadc,93.933
84,6,11,fadc,92.431
29,6,11,fadc,84.261
84,5,11,fadc,83.57
84,6,9,fadc,81.274
84,5,8,fadc,80.011
84,5,14,fadc,77.736
29,5,12,fadc,77.518
29,5,8,fadc,76.052
84,5,9,fadc,74.056
29,5,9,fadc,71.463
29,6,8,fadc,70.433
29,5,14,fadc,69.839
29,5,10,fadc,67.478
84,6,8,fadc,65.298
84,5,10,fadc,63.763
84,5,12,fadc,62.094
84,6,10,fadc,59.463
84,4,11,fadc,45.174
84,6,1,fadc,43.41
84,4,9,fadc,42.242
84,5,2,fadc,40.075
84,4,14,fadc,38.718
84,4,8,fadc,38.434
84,3,13,fadc,38.092
29,5,4,fadc,37.894
84,3,15,fadc,37.887
29,5,3,fadc,37.508
84,4,12,fadc,37.481
29,4,14,fadc,37.413
84,4,13,fadc,37.335
29,6,4,fadc,37.293
84,5,0,fadc,37.288
29,4,11,fadc,37.101
29,6,3,fadc,36.902
84,6,2,fadc,36.851
29,5,6,fadc,36.805
84,6,3,fadc,36.577
29,4,13,fadc,36.334
84,3,11,fadc,36.288
84,6,4,fadc,36.214
29,6,1,fadc,36.074
29,5,1,fadc,35.935
29,4,12,fadc,35.729
84,3,14,fadc,35.686
84,4,15,fadc,35.572
84,6,6,fadc,35.54
29,4,15,fadc,35.528
29,6,2,fadc,35.069
29,3,13,fadc,35.052
84,3,12,fadc,34.855
29,3,14,fadc,34.543
29,5,2,fadc,34.494
29,6,6,fadc,34.395
84,3,9,fadc,34.295
84,5,3,fadc,33.822
29,3,11,fadc,33.787
29,4,9,fadc,33.617
84,6,0,fadc,33.583
29,3,12,fadc,33.405
29,3,9,fadc,32.89
29,6,0,fadc,32.691
29,3,15,fadc,32.506
29,4,5,fadc,32.309
29,4,8,fadc,31.879
84,3,4,fadc,31.653
29,5,5,fadc,31.234
29,3,8,fadc,30.729
84,3,8,fadc,30.137
29,3,5,fadc,29.781
84,4,10,fadc,29.751
29,4,7,fadc,29.201
29,4,10,fadc,29.147
29,4,4,fadc,28.37
29,3,7,fadc,28.192
84,4,7,fadc,27.732
84,3,5,fadc,27.634
84,4,5,fadc,27.594
29,3,10,fadc,27.46
29,3,4,fadc,27.263
84,3,10,fadc,26.887
29,4,6,fadc,26.777
84,16,11,fadc,25.961
84,3,7,fadc,25.214
29,3,6,fadc,24.339
84,5,6,fadc,24.269
29,16,4,fadc,23.691
29,15,4,fadc,22.987
84,15,5,fadc,22.589
84,5,7,fadc,22.305
84,14,11,fadc,22.243
84,3,6,fadc,22.101
84,10,11,fadc,22.039
84,16,9,fadc,22.033
84,4,3,fadc,21.7
84,16,4,fadc,21.62
84,15,1,fadc,21.608
84,15,6,fadc,21.501
29,16,9,fadc,21.46
29,13,11,fadc,21.089
29,14,11,fadc,21.05
29,14,4,fadc,20.893
84,15,14,fadc,20.839
29,14,1,fadc,20.783
84,13,14,fadc,20.735
84,13,2,fadc,20.561
84,4,1,fadc,20.443
84,14,4,fadc,20.413
29,10,11,fadc,20.398
29,13,1,fadc,20.263
29,13,2,fadc,19.937
84,15,11,fadc,19.897
84,15,2,fadc,19.881
29,14,5,fadc,19.855
84,13,13,fadc,19.822
29,9,12,fadc,19.818
29,9,11,fadc,19.807
84,15,12,fadc,19.784
29,14,14,fadc,19.665
29,15,5,fadc,19.657
84,16,2,fadc,19.657
84,13,5,fadc,19.655
84,9,11,fadc,19.617
29,13,4,fadc,19.559
84,3,3,fadc,19.545
29,13,14,fadc,19.461
84,15,4,fadc,19.384
29,9,14,fadc,19.369
29,15,3,fadc,19.353
84,13,4,fadc,19.297
84,10,8,fadc,19.233
29,9,15,fadc,19.157
84,14,1,fadc,19.151
29,14,9,fadc,19.12
29,15,0,fadc,19.085
84,14,14,fadc,19.016
29,15,12,fadc,18.971
29,14,6,fadc,18.948
84,14,12,fadc,18.916
84,13,1,fadc,18.912
84,15,0,fadc,18.845
84,16,14,fadc,18.843
29,16,0,fadc,18.804
29,16,7,fadc,18.801
