config,nthreads,run,wall_s,counts_ok
old,8,1,10.186,yes
noco,8,1,10.108,yes
co,8,1,10.213,yes
old,8,2,10.092,yes
noco,8,2,10.099,yes
co,8,2,10.207,yes
old,8,3,9.873,yes
noco,8,3,10.310,yes
co,8,3,10.408,yes
old,8,4,10.096,yes
noco,8,4,10.547,yes
co,8,4,10.524,yes
old,8,5,10.214,yes
noco,8,5,10.119,yes
co,8,5,10.149,yes
old,8,6,10.142,yes
noco,8,6,10.324,yes
co,8,6,10.331,yes
old,8,7,10.309,yes
noco,8,7,10.329,yes
co,8,7,10.216,yes
old,16,1,8.151,yes
noco,16,1,9.185,yes
co,16,1,8.601,yes
old,16,2,8.770,yes
noco,16,2,8.161,yes
co,16,2,8.566,yes
old,16,3,8.362,yes
noco,16,3,8.156,yes
co,16,3,8.253,yes
old,16,4,8.362,yes
noco,16,4,8.263,yes
co,16,4,8.353,yes
old,16,5,8.262,yes
noco,16,5,8.364,yes
co,16,5,8.159,yes
old,16,6,8.057,yes
noco,16,6,8.149,yes
co,16,6,8.359,yes
old,16,7,8.352,yes
noco,16,7,8.258,yes
co,16,7,8.151,yes
DONE
